{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 59.0, 'temperature': 20.0, 'experiment': 1.0, 'time': 1522081647.938131}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 58.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081652.676254}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081659.938705}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081667.217087}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081671.977707}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081676.739325}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081681.50218}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081686.321927}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081691.780018}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 21.0, 'experiment': 1.0, 'time': 1522081699.151873}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 58.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081703.913439}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081708.701921}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081713.446642}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081718.742744}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081723.504529}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081728.264691}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081735.515964}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081740.290831}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081745.047075}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081749.804344}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081754.615776}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081759.53131}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081764.315981}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081769.07022}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 57.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081778.856707}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081783.638562}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081790.916952}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081798.212337}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 22.0, 'experiment': 1.0, 'time': 1522081803.228185}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081808.033979}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 56.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081812.803351}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 55.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081820.106707}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 55.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081829.907729}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 55.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081834.647716}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 55.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081839.473603}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 55.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081844.481448}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 55.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081849.234826}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 54.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081853.961812}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 54.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081858.724709}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 54.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081867.406107}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 54.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081872.183647}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 54.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081876.919005}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 53.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081881.667194}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 53.0, 'temperature': 23.0, 'experiment': 1.0, 'time': 1522081886.401834}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 53.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081898.967523}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 53.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081903.74667}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 53.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081908.497752}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 53.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081913.257505}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 53.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081918.07696}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 52.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081923.264431}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 52.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081928.50058}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 52.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081934.303907}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 52.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081943.46315}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 52.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081954.194237}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 52.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081964.203068}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 51.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081975.11557}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 51.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081983.240243}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 51.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522081994.219198}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 51.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522082001.033919}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 51.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522082006.648875}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 51.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522082020.929917}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 50.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522082025.729801}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 51.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522082030.632573}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 50.0, 'temperature': 24.0, 'experiment': 1.0, 'time': 1522082037.090381}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 51.0, 'temperature': 25.0, 'experiment': 1.0, 'time': 1522082043.599831}
{'device': 'gnfuv-temp-exp1-55d487b85b-xcl97', 'humidity': 50.0, 'temperature': 25.0, 'experiment': 1.0, 'time': 1522082054.014886}
