{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 32.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085312.500382}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 32.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085320.488689}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 32.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085328.296972}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 33.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085339.191347}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 33.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085347.396396}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 33.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085352.183712}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 33.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085357.579639}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 33.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085362.868024}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085376.661034}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085384.096783}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085390.320206}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085396.718404}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085401.462252}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085406.238981}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085411.88055}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085422.002695}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 26.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085508.759883}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085515.458334}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085520.261245}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085524.97207}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 34.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085533.280049}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 35.0, 'temperature': 32.0, 'experiment': 1.0, 'time': 1522085539.181457}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 35.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085544.216878}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085551.754931}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085556.455591}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085561.164376}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085568.438158}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085573.291187}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085578.150305}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085582.914285}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 33.0, 'experiment': 1.0, 'time': 1522085587.955452}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085593.037855}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085597.776008}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085602.515933}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085607.279252}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085612.330964}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085625.4793}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085630.471784}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085637.853218}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085643.338869}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085648.070194}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085657.965841}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085663.066615}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085668.391028}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085673.156622}
{'device': 'gnfuv-temp-exp1-55d487b85b-5ztk8', 'humidity': 36.0, 'temperature': 34.0, 'experiment': 1.0, 'time': 1522085677.891156}
